timestamp;word
2019-10-23 12:00:10;No meio do caminho tinha uma pedra
2019-10-23 12:00:15;tinha uma pedra no meio do caminho
2019-10-23 12:01:10;tinha uma pedra
2019-10-23 12:01:50;no meio do caminho tinha uma pedra.

2019-10-23 12:02:10;Nunca me esquecerei desse acontecimento
2019-10-23 12:04:10;na vida de minhas retinas tão fatigadas.
2019-10-23 12:06:15;Nunca me esquecerei que no meio do caminho
2019-10-23 12:07:10;tinha uma pedra
2019-10-23 12:09:18;tinha uma pedra no meio do caminho
2019-10-23 12:11:40;no meio do caminho tinha uma pedra.
